date,nav
2019-03-20,1.0
2019-03-22,1.0001
2019-03-29,1.0006
2019-04-04,0.9995
2019-04-12,1.0004
2019-04-19,0.9998
2019-04-22,0.999
2019-04-23,0.9986
2019-04-24,0.9972
2019-04-25,0.9987
2019-04-26,0.9995
2019-04-29,0.9987
2019-04-30,1.0004
2019-05-06,1.0035
2019-05-07,1.0035
2019-05-08,1.0047
2019-05-09,1.0063
2019-05-10,1.0066
2019-05-13,1.0093
2019-05-14,1.0083
2019-05-15,1.0088
2019-05-16,1.0092
2019-05-17,1.0097
2019-05-20,1.0097
2019-05-21,1.0088
2019-05-22,1.0079
2019-05-23,1.0093
2019-05-24,1.0094
2019-05-27,1.0077
2019-05-28,1.0088
2019-05-29,1.0105
2019-05-30,1.0102
2019-05-31,1.0107
2019-06-03,1.0118
2019-06-04,1.0131
2019-06-05,1.0135
2019-06-06,1.0135
2019-06-10,1.0132
2019-06-11,1.0118
2019-06-12,1.0121
2019-06-13,1.0129
2019-06-14,1.0142
2019-06-17,1.0153
2019-06-18,1.0156
2019-06-19,1.0154
2019-06-20,1.016
2019-06-21,1.016
2019-06-24,1.016
2019-06-25,1.0166
2019-06-26,1.0166
2019-06-27,1.0166
2019-06-28,1.0175
2019-06-30,1.0177
2019-07-01,1.0183
2019-07-02,1.0205
2019-07-03,1.0224
2019-07-04,1.0224
2019-07-05,1.0217
2019-07-08,1.0215
2019-07-09,1.022
2019-07-10,1.022
2019-07-11,1.0226
2019-07-12,1.0125
2019-07-15,1.0119
2019-07-16,1.012
2019-07-17,1.0123
2019-07-18,1.0131
2019-07-19,1.0131
2019-07-22,1.0138
2019-07-23,1.0144
2019-07-24,1.014
2019-07-25,1.0142
2019-07-26,1.0142
2019-07-29,1.0139
2019-07-30,1.0139
2019-07-31,1.0153
2019-08-01,1.0157
2019-08-02,1.0181
2019-08-05,1.0205
2019-08-06,1.021
2019-08-07,1.0214
2019-08-08,1.0215
2019-08-09,1.0226
2019-08-12,1.0234
2019-08-13,1.0245
2019-08-14,1.0248
2019-08-15,1.0247
2019-08-16,1.024
2019-08-19,1.025
2019-08-20,1.0248
2019-08-21,1.0236
2019-08-22,1.0236
2019-08-23,1.0233
2019-08-26,1.0245
2019-08-27,1.0239
2019-08-28,1.0238
2019-08-29,1.0227
2019-08-30,1.0213
2019-09-02,1.0207
2019-09-03,1.0209
2019-09-04,1.0218
2019-09-05,1.024
2019-09-06,1.0243
2019-09-09,1.0243
2019-09-10,1.0234
2019-09-11,1.023
2019-09-12,1.0213
2019-09-16,1.0211
2019-09-17,1.021
2019-09-18,1.0192
2019-09-19,1.0195
2019-09-20,1.02
2019-09-23,1.0205
2019-09-24,1.0199
2019-09-25,1.0197
2019-09-26,1.0189
2019-09-27,1.0186
2019-09-30,1.0188
2019-10-08,1.0203
2019-10-09,1.021
2019-10-10,1.0204
2019-10-11,1.0195
2019-10-14,1.0192
2019-10-15,1.0081
2019-10-16,1.0079
2019-10-17,1.0087
2019-10-18,1.0084
2019-10-21,1.0074
2019-10-22,1.0072
2019-10-23,1.0075
2019-10-24,1.0079
2019-10-25,1.0076
2019-10-28,1.0058
2019-10-29,1.005
2019-10-30,1.003
2019-10-31,1.0044
2019-11-01,1.005
2019-11-04,1.0042
2019-11-05,1.0065
2019-11-06,1.0075
2019-11-07,1.0071
2019-11-08,1.007
2019-11-11,1.0086
2019-11-12,1.0091
2019-11-13,1.0101
2019-11-14,1.0103
2019-11-15,1.0116
2019-11-18,1.0145
2019-11-19,1.0159
2019-11-20,1.0165
2019-11-21,1.0167
2019-11-22,1.0165
2019-11-25,1.0153
2019-11-26,1.0157
2019-11-27,1.016
2019-11-28,1.0165
2019-11-29,1.0172
2019-12-02,1.0162
2019-12-03,1.0171
2019-12-04,1.0182
2019-12-05,1.0184
2019-12-06,1.0183
2019-12-09,1.0182
2019-12-10,1.019
2019-12-11,1.02
2019-12-12,1.0205
2019-12-13,1.0204
2019-12-16,1.0207
2019-12-17,1.0205
2019-12-18,1.0201
2019-12-19,1.0205
2019-12-20,1.0219
2019-12-23,1.0233
2019-12-24,1.0239
2019-12-25,1.0244
2019-12-26,1.0252
