date,nav
2020-12-23,1.0
2020-12-25,0.9999
2020-12-28,0.9999
2020-12-29,0.9999
2020-12-30,0.9999
2020-12-31,0.9999
2021-01-04,1.0001
2021-01-05,1.0001
2021-01-06,1.0002
2021-01-07,1.0003
2021-01-08,1.0004
2021-01-11,1.0006
2021-01-12,1.0006
2021-01-13,1.0007
2021-01-14,1.0007
2021-01-15,1.0007
2021-01-18,1.0007
2021-01-19,1.0007
2021-01-20,1.0008
2021-01-21,1.0008
2021-01-22,1.0008
2021-01-25,1.0008
2021-01-26,1.0009
2021-01-27,1.0009
2021-01-28,1.0008
2021-01-29,1.0009
2021-02-01,1.0012
2021-02-02,1.0013
2021-02-03,1.0014
2021-02-04,1.0014
2021-02-05,1.0015
2021-02-08,1.0016
2021-02-09,1.0016
2021-02-10,1.0017
2021-02-18,1.0021
2021-02-19,1.0021
2021-02-22,1.0022
2021-02-23,1.0022
2021-02-24,1.0023
2021-02-25,1.0023
2021-02-26,1.0023
2021-03-01,1.0025
2021-03-02,1.0025
2021-03-03,1.0025
2021-03-04,1.0025
2021-03-05,1.0026
2021-03-08,1.0027
2021-03-09,1.0028
2021-03-10,1.0028
2021-03-11,1.0028
2021-03-12,1.0029
2021-03-15,1.0029
2021-03-16,1.003
2021-03-17,1.003
2021-03-18,1.0031
2021-03-19,1.0029
2021-03-22,1.0029
2021-03-23,1.003
2021-03-24,1.003
2021-03-25,1.0032
2021-03-26,1.0032
2021-03-29,1.0032
2021-03-30,1.0033
2021-03-31,1.0033
2021-04-01,1.0034
2021-04-02,1.0035
2021-04-06,1.0037
2021-04-07,1.0037
2021-04-08,1.0037
2021-04-09,1.0037
2021-04-12,1.0042
2021-04-13,1.0042
2021-04-14,1.0042
2021-04-15,1.0042
2021-04-16,1.0042
2021-04-19,1.0042
2021-04-20,1.0042
2021-04-21,1.0043
2021-04-22,1.0044
2021-04-23,1.0044
2021-04-26,1.0046
2021-04-27,1.0047
2021-04-28,1.0047
2021-04-29,1.0052
2021-04-30,1.0053
2021-05-06,1.0051
2021-05-07,1.0052
2021-05-10,1.0054
2021-05-11,1.0054
2021-05-12,1.0056
2021-05-13,1.009
2021-05-14,1.009
2021-05-17,1.0097
2021-05-18,1.0097
2021-05-19,1.0097
2021-05-20,1.0097
2021-05-21,1.0098
2021-05-24,1.0099
2021-05-25,1.0104
2021-05-26,1.0105
2021-05-27,1.0101
2021-05-28,1.0101
2021-05-31,1.0102
2021-06-01,1.0102
2021-06-02,1.0102
2021-06-03,1.0101
2021-06-04,1.0101
2021-06-07,1.0104
2021-06-08,1.0104
2021-06-09,1.0105
2021-06-10,1.0105
2021-06-11,1.0106
2021-06-15,1.0108
2021-06-16,1.0112
2021-06-17,1.0125
2021-06-18,1.0125
2021-06-21,1.0127
2021-06-22,1.0125
2021-06-23,1.0124
2021-06-24,1.0125
2021-06-25,1.0126
2021-06-28,1.0128
2021-06-29,1.0128
2021-06-30,1.013
2021-07-01,1.013
2021-07-02,1.0132
2021-07-05,1.0137
2021-07-06,1.0138
2021-07-07,1.014
2021-07-08,1.0137
2021-07-09,1.0137
2021-07-12,1.014
2021-07-13,1.0142
2021-07-14,1.0142
2021-07-15,1.0143
2021-07-16,1.0144
2021-07-19,1.0151
2021-07-20,1.0153
2021-07-21,1.0153
2021-07-22,1.0154
2021-07-23,1.0152
2021-07-26,1.0154
2021-07-27,1.0155
2021-07-28,1.0155
2021-07-29,1.0156
2021-07-30,1.0157
2021-08-02,1.0164
2021-08-03,1.0165
2021-08-04,1.0166
2021-08-05,1.0167
2021-08-06,1.0168
2021-08-09,1.017
2021-08-10,1.0171
2021-08-11,1.017
2021-08-12,1.0171
2021-08-13,1.0172
2021-08-16,1.0173
2021-08-17,1.0174
2021-08-18,1.0173
2021-08-19,1.0175
2021-08-20,1.018
2021-08-23,1.0181
2021-08-24,1.0181
2021-08-25,1.0182
2021-08-26,1.0182
2021-08-27,1.0184
2021-08-30,1.0186
2021-08-31,1.0186
2021-09-01,1.0187
2021-09-02,1.0187
2021-09-03,1.019
2021-09-06,1.0191
2021-09-07,1.0192
2021-09-08,1.019
2021-09-09,1.0191
2021-09-10,1.019
2021-09-13,1.0192
2021-09-14,1.0195
2021-09-15,1.0195
2021-09-16,1.0195
2021-09-17,1.0196
2021-09-22,1.02
2021-09-23,1.02
2021-09-24,1.02
2021-09-27,1.02
2021-09-28,1.0202
2021-09-29,1.0202
2021-09-30,1.0204
2021-10-08,1.0209
2021-10-11,1.021
2021-10-12,1.0209
2021-10-13,1.0209
2021-10-14,1.0201
2021-10-15,1.0202
2021-10-18,1.0206
2021-10-19,1.0206
2021-10-20,1.0206
2021-10-21,1.0207
2021-10-22,1.0206
2021-10-25,1.0213
2021-10-26,1.0214
2021-10-27,1.0212
2021-10-28,1.0219
2021-10-29,1.022
2021-11-01,1.0223
2021-11-02,1.022
2021-11-03,1.0224
2021-11-04,1.0225
2021-11-05,1.0226
2021-11-08,1.0227
2021-11-09,1.0228
2021-11-10,1.0228
2021-11-11,1.0228
2021-11-12,1.0228
2021-11-15,1.023
2021-11-16,1.0229
2021-11-17,1.023
2021-11-18,1.0229
2021-11-19,1.023
2021-11-22,1.0234
2021-11-23,1.0235
2021-11-24,1.0234
2021-11-25,1.0235
2021-11-26,1.0236
2021-11-29,1.0238
2021-11-30,1.0238
2021-12-01,1.0238
2021-12-02,1.0248
2021-12-03,1.0263
2021-12-06,1.0264
2021-12-07,1.0259
2021-12-08,1.026
2021-12-09,1.026
2021-12-10,1.0261
2021-12-13,1.0262
2021-12-14,1.0262
2021-12-15,1.0263
2021-12-16,1.0263
2021-12-17,1.0266
2021-12-20,1.0266
2021-12-21,1.0264
2021-12-22,1.0263
2021-12-23,1.0266
2021-12-24,1.028
2021-12-27,1.0295
2021-12-28,1.0298
2021-12-29,1.0298
2021-12-30,1.03
2021-12-31,1.03
2022-01-04,1.0301
2022-01-05,1.0302
2022-01-06,1.0303
2022-01-07,1.0303
2022-01-10,1.0306
2022-01-11,1.0308
2022-01-12,1.0307
2022-01-13,1.0307
2022-01-14,1.0308
2022-01-17,1.0311
2022-01-18,1.0314
2022-01-19,1.0314
2022-01-20,1.0313
2022-01-21,1.0323
2022-01-24,1.0326
2022-01-25,1.0324
2022-01-26,1.0323
2022-01-27,1.0322
2022-01-28,1.0324
2022-02-07,1.0332
2022-02-08,1.0332
2022-02-09,1.0334
2022-02-10,1.0334
2022-02-11,1.0339
2022-02-14,1.0342
2022-02-15,1.0342
2022-02-16,1.0343
2022-02-17,1.0341
2022-02-18,1.0342
2022-02-21,1.0344
2022-02-22,1.0343
2022-02-23,1.0352
2022-02-24,1.0352
2022-02-25,1.0351
2022-02-28,1.0355
2022-03-01,1.0354
2022-03-02,1.0354
2022-03-03,1.0354
2022-03-04,1.0354
2022-03-07,1.0361
2022-03-08,1.036
2022-03-09,1.0358
2022-03-10,1.0358
2022-03-11,1.0358
2022-03-14,1.0363
2022-03-15,1.036
2022-03-16,1.036
2022-03-17,1.0361
2022-03-18,1.036
2022-03-21,1.0362
2022-03-22,1.0365
2022-03-23,1.0366
2022-03-24,1.0366
2022-03-25,1.0367
2022-03-28,1.0374
2022-03-29,1.0375
2022-03-30,1.0376
2022-03-31,1.0377
2022-04-01,1.0378
2022-04-06,1.038
2022-04-07,1.0381
2022-04-08,1.0381
2022-04-11,1.0383
2022-04-12,1.0383
2022-04-13,1.0384
2022-04-14,1.0386
2022-04-15,1.0388
2022-04-18,1.0387
2022-04-19,1.0388
2022-04-20,1.0389
2022-04-21,1.0391
2022-04-22,1.0393
2022-04-25,1.0394
2022-04-26,1.0395
2022-04-27,1.0395
2022-04-28,1.0396
2022-04-29,1.0398
2022-05-05,1.0402
2022-05-06,1.0404
2022-05-09,1.0405
2022-05-10,1.0407
2022-05-11,1.0408
2022-05-12,1.0411
2022-05-13,1.0413
2022-05-16,1.0416
2022-05-17,1.0419
2022-05-18,1.0422
2022-05-19,1.0425
2022-05-20,1.0425
2022-05-23,1.0428
2022-05-24,1.0429
2022-05-25,1.0429
2022-05-26,1.0432
2022-05-27,1.0433
2022-05-30,1.0436
2022-05-31,1.0436
2022-06-01,1.0439
2022-06-02,1.044
2022-06-06,1.044
2022-06-07,1.0439
2022-06-08,1.0439
2022-06-09,1.044
2022-06-10,1.0441
2022-06-13,1.0442
2022-06-14,1.0442
2022-06-15,1.0442
2022-06-16,1.0443
2022-06-17,1.0445
2022-06-20,1.0446
2022-06-21,1.0446
2022-06-22,1.0448
2022-06-23,1.0449
2022-06-24,1.045
2022-06-27,1.045
2022-06-28,1.0452
2022-06-29,1.0452
2022-06-30,1.0453
2022-07-01,1.0454
2022-07-04,1.0455
2022-07-05,1.0455
2022-07-06,1.0455
2022-07-07,1.0455
2022-07-08,1.0457
2022-07-11,1.0458
2022-07-12,1.0458
2022-07-13,1.0463
2022-07-14,1.0464
2022-07-15,1.0465
2022-07-18,1.0469
2022-07-19,1.0469
2022-07-20,1.0472
2022-07-21,1.0473
2022-07-22,1.0474
2022-07-25,1.0476
2022-07-26,1.0477
2022-07-27,1.0477
2022-07-28,1.0477
2022-07-29,1.0478
2022-08-01,1.0482
2022-08-02,1.0482
2022-08-03,1.0483
2022-08-04,1.0482
2022-08-05,1.0481
2022-08-08,1.0481
2022-08-09,1.0481
2022-08-10,1.0482
2022-08-11,1.0482
2022-08-12,1.0484
2022-08-15,1.0491
2022-08-16,1.0492
2022-08-17,1.0495
2022-08-18,1.0497
2022-08-19,1.0499
2022-08-22,1.05
2022-08-23,1.05
2022-08-24,1.0499
2022-08-25,1.0498
2022-08-26,1.0496
2022-08-29,1.0498
2022-08-30,1.0498
2022-08-31,1.0498
2022-09-01,1.0501
2022-09-02,1.0502
2022-09-05,1.0504
2022-09-06,1.0504
2022-09-07,1.0507
2022-09-08,1.0507
2022-09-09,1.0506
2022-09-13,1.051
2022-09-14,1.0509
2022-09-15,1.0511
2022-09-16,1.0511
2022-09-19,1.0512
2022-09-20,1.0512
2022-09-21,1.052
2022-09-22,1.0521
2022-09-23,1.0521
2022-09-26,1.0521
2022-09-27,1.0521
2022-09-28,1.0517
2022-09-29,1.0516
2022-09-30,1.0517
2022-10-10,1.0528
2022-10-11,1.0528
2022-10-12,1.0529
2022-10-13,1.053
2022-10-14,1.0531
2022-10-17,1.053
2022-10-18,1.0527
2022-10-19,1.0532
2022-10-20,1.0518
2022-10-21,1.0517
2022-10-24,1.0526
2022-10-25,1.0526
2022-10-26,1.0528
2022-10-27,1.0531
2022-10-28,1.0534
2022-10-31,1.0537
2022-11-01,1.0535
2022-11-02,1.0528
2022-11-03,1.0521
2022-11-04,1.0525
2022-11-07,1.0525
2022-11-08,1.0525
2022-11-09,1.0523
2022-11-10,1.053
2022-11-11,1.0547
2022-11-14,1.0557
2022-11-15,1.0554
2022-11-16,1.0551
2022-11-17,1.055
2022-11-18,1.0553
2022-11-21,1.0557
2022-11-22,1.0558
2022-11-23,1.056
2022-11-24,1.0563
2022-11-25,1.0567
2022-11-28,1.0568
2022-11-29,1.0567
2022-11-30,1.0568
2022-12-01,1.0568
2022-12-02,1.0567
2022-12-05,1.0577
2022-12-06,1.0575
2022-12-07,1.0575
2022-12-08,1.0574
2022-12-09,1.0573
2022-12-12,1.0573
2022-12-13,1.0566
2022-12-14,1.057
2022-12-15,1.057
2022-12-16,1.0571
2022-12-19,1.0576
2022-12-20,1.0577
2022-12-21,1.0579
2022-12-22,1.0581
2022-12-23,1.0583
2022-12-26,1.0584
2022-12-27,1.0585
2022-12-28,1.059
2022-12-29,1.0592
2022-12-30,1.0596
2022-12-31,1.0597
2023-01-03,1.0601
2023-01-04,1.0607
2023-01-05,1.0609
2023-01-06,1.0608
2023-01-09,1.0612
2023-01-10,1.0611
2023-01-11,1.0611
2023-01-12,1.0612
2023-01-13,1.0613
2023-01-16,1.0616
2023-01-17,1.0617
2023-01-18,1.0618
2023-01-19,1.062
2023-01-20,1.0622
2023-01-30,1.063
2023-01-31,1.0631
2023-02-01,1.0632
2023-02-02,1.0633
2023-02-03,1.0634
2023-02-06,1.0637
2023-02-07,1.0637
2023-02-08,1.0638
2023-02-09,1.064
2023-02-10,1.0642
2023-02-13,1.0645
2023-02-14,1.0648
2023-02-15,1.0649
2023-02-16,1.065
2023-02-17,1.0652
2023-02-20,1.0654
2023-02-21,1.0656
2023-02-22,1.0656
2023-02-23,1.0657
2023-02-24,1.0659
2023-02-27,1.0661
2023-02-28,1.0661
2023-03-01,1.0663
2023-03-02,1.0665
2023-03-03,1.0666
2023-03-06,1.0669
2023-03-07,1.0671
2023-03-08,1.0673
2023-03-09,1.0674
2023-03-10,1.0676
2023-03-13,1.0679
2023-03-14,1.0681
2023-03-15,1.0683
2023-03-16,1.0685
2023-03-17,1.0686
2023-03-20,1.069
2023-03-21,1.0695
2023-03-22,1.0697
2023-03-23,1.0698
2023-03-24,1.07
2023-03-27,1.0702
2023-03-28,1.0703
2023-03-29,1.0704
2023-03-30,1.0705
2023-03-31,1.0706
2023-04-03,1.0709
2023-04-04,1.0709
2023-04-06,1.0711
2023-04-07,1.0711
2023-04-10,1.0714
2023-04-11,1.0714
2023-04-12,1.0716
2023-04-13,1.0718
2023-04-14,1.0719
2023-04-17,1.0721
2023-04-18,1.0722
2023-04-19,1.0723
2023-04-20,1.0724
2023-04-21,1.0725
2023-04-24,1.0728
2023-04-25,1.0729
2023-04-26,1.073
2023-04-27,1.0731
2023-04-28,1.0732
2023-05-04,1.0738
2023-05-05,1.0739
2023-05-08,1.0742
2023-05-09,1.0744
2023-05-10,1.0746
2023-05-11,1.0748
2023-05-12,1.075
2023-05-15,1.0753
2023-05-16,1.0757
2023-05-17,1.0758
2023-05-18,1.0759
2023-05-19,1.0759
2023-05-22,1.0762
2023-05-23,1.0763
2023-05-24,1.0765
2023-05-25,1.0765
2023-05-26,1.0766
2023-05-29,1.0771
2023-05-30,1.0771
2023-05-31,1.0771
2023-06-01,1.0773
2023-06-02,1.0773
2023-06-05,1.0774
2023-06-06,1.0775
2023-06-07,1.0775
2023-06-08,1.0777
2023-06-09,1.0777
2023-06-12,1.078
2023-06-13,1.078
2023-06-14,1.0781
2023-06-15,1.0781
2023-06-16,1.0781
2023-06-19,1.0781
2023-06-20,1.0782
2023-06-21,1.0783
2023-06-26,1.0786
2023-06-27,1.0786
2023-06-28,1.0786
2023-06-29,1.0787
2023-06-30,1.079
2023-07-03,1.0793
2023-07-04,1.0794
2023-07-05,1.0795
2023-07-06,1.0796
2023-07-07,1.0797
2023-07-10,1.0799
2023-07-11,1.08
2023-07-12,1.0801
2023-07-13,1.0802
2023-07-14,1.0802
2023-07-17,1.0805
2023-07-18,1.0805
2023-07-19,1.0806
2023-07-20,1.0807
2023-07-21,1.0809
2023-07-24,1.0808
2023-07-25,1.0807
2023-07-26,1.0807
2023-07-27,1.0407
2023-07-28,1.0408
2023-07-31,1.0409
2023-08-01,1.041
2023-08-02,1.0411
2023-08-03,1.0411
2023-08-04,1.0412
2023-08-07,1.0414
2023-08-08,1.0415
2023-08-09,1.0415
2023-08-10,1.0416
2023-08-11,1.0418
2023-08-14,1.042
2023-08-15,1.0421
2023-08-16,1.0422
2023-08-17,1.0424
2023-08-18,1.0425
2023-08-21,1.0428
2023-08-22,1.0428
2023-08-23,1.0429
2023-08-24,1.043
2023-08-25,1.0432
2023-08-28,1.0433
2023-08-29,1.0433
2023-08-30,1.0433
2023-08-31,1.0434
2023-09-01,1.0434
2023-09-04,1.0434
2023-09-05,1.0437
2023-09-06,1.0437
2023-09-07,1.0435
2023-09-08,1.0433
2023-09-11,1.0433
2023-09-12,1.0433
2023-09-13,1.0435
2023-09-14,1.0437
2023-09-15,1.0439
2023-09-18,1.0441
2023-09-19,1.0442
2023-09-20,1.0443
2023-09-21,1.0445
2023-09-22,1.0447
2023-09-25,1.0449
2023-09-26,1.0448
2023-09-27,1.0448
2023-09-28,1.0449
2023-10-09,1.0464
2023-10-10,1.0465
2023-10-11,1.0465
2023-10-12,1.0468
2023-10-13,1.0469
2023-10-16,1.047
2023-10-17,1.047
2023-10-18,1.0471
2023-10-19,1.047
2023-10-20,1.0471
2023-10-23,1.0472
2023-10-24,1.0471
2023-10-25,1.0473
2023-10-26,1.0476
2023-10-27,1.0477
2023-10-30,1.0481
2023-10-31,1.0482
2023-11-01,1.0484
2023-11-02,1.0487
2023-11-03,1.0488
2023-11-06,1.049
2023-11-07,1.0493
2023-11-08,1.0495
2023-11-09,1.0496
2023-11-10,1.0498
2023-11-13,1.0501
2023-11-14,1.0502
2023-11-15,1.0504
2023-11-16,1.0505
2023-11-17,1.0507
2023-11-20,1.0507
2023-11-21,1.0508
2023-11-22,1.0509
2023-11-23,1.051
2023-11-24,1.051
2023-11-27,1.051
2023-11-28,1.051
2023-11-29,1.051
2023-11-30,1.0511
2023-12-01,1.0512
2023-12-04,1.0514
2023-12-05,1.0514
2023-12-06,1.0513
2023-12-07,1.0514
2023-12-08,1.0514
2023-12-11,1.0516
2023-12-12,1.0516
2023-12-13,1.0518
2023-12-14,1.0519
2023-12-15,1.0522
2023-12-18,1.0525
2023-12-19,1.0527
2023-12-20,1.0527
2023-12-21,1.0528
2023-12-22,1.053
2023-12-25,1.0533
2023-12-26,1.0535
2023-12-27,1.0539
2023-12-28,1.0546
2023-12-29,1.055
2023-12-31,1.0551
2024-01-02,1.0553
2024-01-03,1.0553
2024-01-04,1.0554
2024-01-05,1.0556
2024-01-08,1.0559
2024-01-09,1.0561
2024-01-10,1.0562
2024-01-11,1.0562
2024-01-12,1.0563
2024-01-15,1.0565
2024-01-16,1.0565
2024-01-17,1.0567
2024-01-18,1.0569
2024-01-19,1.057
2024-01-22,1.0574
2024-01-23,1.0574
2024-01-24,1.0575
2024-01-25,1.0576
2024-01-26,1.0578
2024-01-29,1.0581
2024-01-30,1.0583
2024-01-31,1.0586
2024-02-01,1.0587
2024-02-02,1.0588
2024-02-05,1.0591
2024-02-06,1.0591
2024-02-07,1.0592
2024-02-08,1.0592
2024-02-19,1.06
2024-02-20,1.0602
2024-02-21,1.0603
2024-02-22,1.0605
2024-02-23,1.0607
2024-02-26,1.0609
2024-02-27,1.0611
2024-02-28,1.0612
2024-02-29,1.0614
2024-03-01,1.0613
2024-03-04,1.0615
2024-03-05,1.0616
2024-03-06,1.0617
2024-03-07,1.0618
2024-03-08,1.0619
2024-03-11,1.062
2024-03-12,1.062
2024-03-13,1.0619
2024-03-14,1.0618
2024-03-15,1.0619
2024-03-18,1.062
2024-03-19,1.0621
2024-03-20,1.0622
2024-03-21,1.0623
2024-03-22,1.0623
2024-03-25,1.0624
2024-03-26,1.0624
2024-03-27,1.0625
2024-03-28,1.0625
2024-03-29,1.0627
2024-04-01,1.0155
2024-04-02,1.0157
2024-04-03,1.0159
2024-04-08,1.0163
2024-04-09,1.0164
2024-04-10,1.0166
2024-04-11,1.0167
2024-04-12,1.0169
2024-04-15,1.0171
2024-04-16,1.0172
2024-04-17,1.0173
2024-04-18,1.0174
2024-04-19,1.0176
2024-04-22,1.0178
2024-04-23,1.0179
2024-04-24,1.0178
2024-04-25,1.0178
2024-04-26,1.0177
2024-04-29,1.0175
2024-04-30,1.0177
2024-05-06,1.018
2024-05-07,1.0182
2024-05-08,1.0182
2024-05-09,1.0183
2024-05-10,1.0184
2024-05-13,1.0186
2024-05-14,1.0187
2024-05-15,1.0188
2024-05-16,1.0188
2024-05-17,1.0189
2024-05-20,1.0191
2024-05-21,1.0191
2024-05-22,1.0193
2024-05-23,1.0196
2024-05-24,1.0196
2024-05-27,1.0197
2024-05-28,1.0198
2024-05-29,1.02
2024-05-30,1.0202
2024-05-31,1.0202
2024-06-03,1.0204
2024-06-04,1.0204
2024-06-05,1.0206
2024-06-06,1.0208
2024-06-07,1.0208
2024-06-11,1.021
2024-06-12,1.0211
2024-06-13,1.0212
2024-06-14,1.0213
2024-06-17,1.0215
2024-06-18,1.0215
2024-06-19,1.0217
2024-06-20,1.0217
2024-06-21,1.0217
2024-06-24,1.0219
2024-06-25,1.022
2024-06-26,1.022
2024-06-27,1.0222
2024-06-28,1.0223
2024-06-30,1.0222
2024-07-01,1.0223
2024-07-02,1.0225
2024-07-03,1.0227
2024-07-04,1.0228
2024-07-05,1.0228
2024-07-08,1.0227
2024-07-09,1.0229
2024-07-10,1.023
2024-07-11,1.0231
2024-07-12,1.0231
2024-07-15,1.0234
2024-07-16,1.0235
2024-07-17,1.0236
2024-07-18,1.0236
2024-07-19,1.0239
2024-07-22,1.0242
2024-07-23,1.0245
2024-07-24,1.0246
2024-07-25,1.0247
2024-07-26,1.025
2024-07-29,1.0252
2024-07-30,1.0254
2024-07-31,1.0256
2024-08-01,1.0257
2024-08-02,1.0259
2024-08-05,1.0262
2024-08-06,1.0261
2024-08-07,1.0262
2024-08-08,1.0262
2024-08-09,1.0258
2024-08-12,1.0256
2024-08-13,1.0256
2024-08-14,1.026
2024-08-15,1.026
2024-08-16,1.0261
2024-08-19,1.0263
2024-08-20,1.0262
2024-08-21,1.0261
2024-08-22,1.026
2024-08-23,1.0258
2024-08-26,1.0257
2024-08-27,1.0253
2024-08-28,1.0253
2024-08-29,1.0253
2024-08-30,1.0255
2024-09-02,1.0259
2024-09-03,1.0259
2024-09-04,1.026
2024-09-05,1.0261
2024-09-06,1.0262
2024-09-09,1.0262
2024-09-10,1.0261
2024-09-11,1.0268
2024-09-12,1.0266
2024-09-13,1.0267
2024-09-18,1.0275
2024-09-19,1.0274
2024-09-20,1.0274
2024-09-23,1.0275
2024-09-24,1.0275
2024-09-25,1.0276
2024-09-26,1.0276
2024-09-27,1.0269
2024-09-30,1.0252
2024-10-08,1.0247
2024-10-09,1.0233
2024-10-10,1.0233
2024-10-11,1.0241
2024-10-14,1.0253
2024-10-15,1.0255
2024-10-16,1.0257
2024-10-17,1.0259
2024-10-18,1.0262
2024-10-21,1.0267
2024-10-22,1.0265
2024-10-23,1.0262
2024-10-24,1.0263
2024-10-25,1.0263
2024-10-28,1.0264
2024-10-29,1.0264
2024-10-30,1.0263
2024-10-31,1.0264
2024-11-01,1.0266
2024-11-04,1.0268
2024-11-05,1.0271
2024-11-06,1.027
2024-11-07,1.0272
2024-11-08,1.0274
2024-11-11,1.0279
2024-11-12,1.0281
2024-11-13,1.028
2024-11-14,1.0281
2024-11-15,1.0282
2024-11-18,1.0282
2024-11-19,1.0283
2024-11-20,1.0283
2024-11-21,1.0284
2024-11-22,1.0289
2024-11-25,1.0295
2024-11-26,1.0294
2024-11-27,1.0295
2024-11-28,1.0296
2024-11-29,1.0299
2024-12-02,1.0306
2024-12-03,1.0308
2024-12-04,1.031
2024-12-05,1.0311
2024-12-06,1.0313
2024-12-09,1.0315
2024-12-10,1.0329
2024-12-11,1.0331
2024-12-12,1.0333
2024-12-13,1.0332
2024-12-16,1.0336
2024-12-17,1.0337
