date,nav
2013-05-30,1.1349
2013-06-02,3.6037
2013-06-03,0.8201
2013-06-04,0.82
2013-06-05,0.82
2013-06-06,0.8199
2013-06-07,0.8193
2013-06-08,0.8191
2013-06-09,0.819
2013-06-10,0.819
2013-06-11,0.8189
2013-06-12,0.8188
2013-06-13,1.1907
2013-06-14,1.2829
2013-06-15,1.2784
2013-06-16,1.2782
2013-06-17,1.4768
2013-06-18,1.4387
2013-06-19,1.3535
2013-06-20,1.4237
2013-06-21,1.5131
2013-06-22,1.4577
2013-06-23,1.4575
2013-06-24,1.565
2013-06-25,1.7863
2013-06-26,1.7198
2013-06-27,1.6592
2013-06-28,1.6823
2013-06-29,1.6521
2013-06-30,1.6518
2013-07-01,1.5787
2013-07-02,1.5461
2013-07-03,1.467
2013-07-04,1.4223
2013-07-05,1.3845
2013-07-06,1.3674
2013-07-07,1.3671
2013-07-08,1.3129
2013-07-09,1.3096
2013-07-10,1.2792
2013-07-11,1.2616
2013-07-12,1.2487
2013-07-13,1.2396
2013-07-14,1.2394
2013-07-15,1.1985
2013-07-16,1.2214
2013-07-17,1.1829
2013-07-18,1.1896
2013-07-19,1.2032
2013-07-20,1.1964
2013-07-21,1.1962
2013-07-22,1.1547
2013-07-23,1.1826
2013-07-24,1.1805
2013-07-25,1.1645
2013-07-26,1.1777
2013-07-27,1.1728
2013-07-28,1.1726
2013-07-29,1.1515
2013-07-30,1.1958
2013-07-31,1.2088
2013-08-01,1.2026
2013-08-02,1.222
2013-08-03,1.2154
2013-08-04,1.2152
2013-08-05,1.1875
2013-08-06,1.204
2013-08-07,1.2118
2013-08-08,1.2155
2013-08-09,1.2174
2013-08-10,1.2128
2013-08-11,1.2126
2013-08-12,1.1886
2013-08-13,1.2143
2013-08-14,1.2201
2013-08-15,1.2184
2013-08-16,1.219
2013-08-17,1.215
2013-08-18,1.2148
2013-08-19,1.1987
2013-08-20,1.2288
2013-08-21,1.2307
2013-08-22,1.2187
2013-08-23,1.2236
2013-08-24,1.2204
2013-08-25,1.2202
2013-08-26,1.185
2013-08-27,1.2131
2013-08-28,1.213
2013-08-29,1.3194
2013-08-30,1.4113
2013-08-31,1.2201
2013-09-01,1.2199
2013-09-02,1.4475
2013-09-03,1.2339
2013-09-04,1.2349
2013-09-05,1.2374
2013-09-06,1.5058
2013-09-07,1.2415
2013-09-08,1.2381
2013-09-09,1.44
2013-09-10,1.4214
2013-09-11,1.2527
2013-09-12,1.2598
2013-09-13,1.3805
2013-09-14,1.2613
2013-09-15,1.2611
2013-09-16,1.4143
2013-09-17,1.2495
2013-09-18,1.3366
2013-09-19,1.2594
2013-09-20,1.2592
2013-09-21,1.2569
2013-09-22,1.2567
2013-09-23,1.2346
2013-09-24,1.3281
2013-09-25,1.3895
2013-09-26,1.4449
2013-09-27,1.3799
2013-09-28,1.3138
2013-09-29,1.3136
2013-09-30,1.3162
2013-10-01,1.3181
2013-10-02,1.3179
2013-10-03,1.3177
2013-10-04,1.3175
2013-10-05,1.3173
2013-10-06,1.3111
2013-10-07,1.3109
2013-10-08,1.4756
2013-10-09,1.2935
2013-10-10,1.3088
2013-10-11,1.3122
2013-10-12,1.3082
2013-10-13,1.308
2013-10-14,1.2777
2013-10-15,1.3456
2013-10-16,1.313
2013-10-17,1.2908
2013-10-18,1.2917
2013-10-19,1.2859
2013-10-20,1.2857
2013-10-21,1.34
2013-10-22,1.2698
2013-10-23,1.273
2013-10-24,1.2811
2013-10-25,1.2758
2013-10-26,1.2731
2013-10-27,1.2729
2013-10-28,1.2428
2013-10-29,1.289
2013-10-30,1.2902
2013-10-31,1.2965
2013-11-01,1.2919
2013-11-02,1.2911
2013-11-03,1.291
2013-11-04,1.2888
2013-11-05,1.2938
2013-11-06,1.2917
2013-11-07,1.2935
2013-11-08,1.292
2013-11-09,1.2891
2013-11-10,1.2889
2013-11-11,1.4962
2013-11-12,1.4577
2013-11-13,1.4097
2013-11-14,1.3294
2013-11-15,1.4738
2013-11-16,1.3102
2013-11-17,1.31
2013-11-18,1.321
2013-11-19,1.3377
2013-11-20,1.3352
2013-11-21,1.3442
2013-11-22,1.3502
2013-11-23,1.3469
2013-11-24,1.3467
2013-11-25,1.361
2013-11-26,1.3774
2013-11-27,1.3755
2013-11-28,1.3862
2013-11-29,1.3879
2013-11-30,1.3878
2013-12-01,1.3876
2013-12-02,1.3882
2013-12-03,1.399
2013-12-04,1.3982
2013-12-05,1.4025
2013-12-06,1.3848
2013-12-07,1.3815
2013-12-08,1.3809
2013-12-09,1.4227
2013-12-10,1.4271
2013-12-11,1.42
2013-12-12,1.4663
2013-12-13,1.4527
2013-12-14,1.4493
2013-12-15,1.4491
2013-12-16,1.4771
2013-12-17,1.4532
2013-12-18,1.4542
2013-12-19,1.5167
2013-12-20,1.513
2013-12-21,1.5109
2013-12-22,1.5107
2013-12-23,1.6189
2013-12-24,1.611
2013-12-25,1.7012
2013-12-26,1.7674
2013-12-27,1.803
2013-12-28,1.7889
2013-12-29,1.7886
2013-12-30,1.7947
2013-12-31,1.7869
2014-01-01,1.7807
2014-01-02,1.8092
2014-01-03,1.7847
2014-01-04,1.7751
2014-01-05,1.7748
2014-01-06,1.774
2014-01-07,1.8086
2014-01-08,1.822
2014-01-09,1.7647
2014-01-10,1.7878
2014-01-11,1.7439
2014-01-12,1.7434
2014-01-13,1.7584
2014-01-14,1.7634
2014-01-15,1.7295
2014-01-16,1.723
2014-01-17,1.7139
2014-01-18,1.6772
2014-01-19,1.6767
2014-01-20,1.7235
2014-01-21,1.6958
2014-01-22,1.6853
2014-01-23,1.7491
2014-01-24,1.7296
2014-01-25,1.6815
2014-01-26,1.695
2014-01-27,1.6915
2014-01-28,1.7398
2014-01-29,1.6693
2014-01-30,1.6193
2014-01-31,1.609
2014-02-01,1.6086
2014-02-02,1.6083
2014-02-03,1.608
2014-02-04,1.6078
2014-02-05,1.6072
2014-02-06,1.6069
2014-02-07,1.7017
2014-02-08,1.6795
2014-02-09,1.6792
2014-02-10,1.7004
2014-02-11,1.677
2014-02-12,1.6702
2014-02-13,1.6705
2014-02-14,1.661
2014-02-15,1.6566
2014-02-16,1.6563
2014-02-17,1.6526
2014-02-18,1.6433
2014-02-19,1.6337
2014-02-20,1.6358
2014-02-21,1.6282
2014-02-22,1.6247
2014-02-23,1.6238
2014-02-24,1.6323
2014-02-25,1.6039
2014-02-26,1.596
2014-02-27,1.5792
2014-02-28,1.572
2014-03-01,1.5698
2014-03-02,1.5695
2014-03-03,1.5559
2014-03-04,1.5429
2014-03-05,1.5411
2014-03-06,1.5259
2014-03-07,1.517
2014-03-08,1.5148
2014-03-09,1.5145
2014-03-10,1.5048
2014-03-11,1.4965
2014-03-12,1.4997
2014-03-13,1.4878
2014-03-14,1.4831
2014-03-15,1.4818
2014-03-16,1.4816
2014-03-17,1.4628
2014-03-18,1.4726
2014-03-19,1.4786
2014-03-20,1.4772
2014-03-21,1.4787
2014-03-22,1.4638
2014-03-23,1.4636
2014-03-24,1.4542
2014-03-25,1.446
2014-03-26,1.4345
2014-03-27,1.4273
2014-03-28,1.4255
2014-03-29,1.4259
2014-03-30,1.4257
2014-03-31,1.431
2014-04-01,1.4368
2014-04-02,1.437
2014-04-03,1.4364
2014-04-04,1.4338
2014-04-05,1.4318
2014-04-06,1.4314
2014-04-07,1.4312
2014-04-08,1.4263
2014-04-09,1.4239
2014-04-10,1.4202
2014-04-11,1.4106
2014-04-12,1.4099
2014-04-13,1.4097
2014-04-14,1.4048
2014-04-15,1.4022
2014-04-16,1.3958
2014-04-17,1.3866
2014-04-18,1.3841
2014-04-19,1.3835
2014-04-20,1.383
2014-04-21,1.3866
2014-04-22,1.3813
2014-04-23,1.3654
2014-04-24,1.3515
2014-04-25,1.344
2014-04-26,1.3441
2014-04-27,1.3439
2014-04-28,1.3506
2014-04-29,1.346
2014-04-30,1.3511
2014-05-01,1.3364
2014-05-02,1.3362
2014-05-03,1.3361
2014-05-04,1.3543
2014-05-05,1.3378
2014-05-06,1.3831
2014-05-07,1.3393
2014-05-08,1.3221
2014-05-09,1.3244
2014-05-10,1.3117
