date,nav
2024-02-07,1.0747
2024-02-08,1.0718
2024-02-19,1.0734
2024-02-20,1.0767
2024-02-21,1.0766
2024-02-22,1.0778
2024-02-23,1.0795
2024-02-26,1.0852
2024-02-27,1.087
2024-02-28,1.0907
2024-02-29,1.0941
2024-03-01,1.0905
2024-03-04,1.0928
2024-03-05,1.093
2024-03-06,1.0995
2024-03-07,1.0984
2024-03-08,1.097
2024-03-11,1.0923
2024-03-12,1.0853
2024-03-13,1.0866
2024-03-14,1.0829
2024-03-15,1.0871
2024-03-18,1.0923
2024-03-19,1.0961
2024-03-20,1.0932
2024-03-21,1.0937
2024-03-22,1.0904
2024-03-25,1.0886
2024-03-26,1.0479
2024-03-27,1.0541
2024-03-28,1.0532
2024-03-29,1.0553
2024-04-01,1.052
2024-04-02,1.054
2024-04-03,1.0571
2024-04-08,1.0571
2024-04-09,1.058
2024-04-10,1.0533
2024-04-11,1.0527
2024-04-12,1.0546
2024-04-15,1.0549
2024-04-16,1.0581
2024-04-17,1.0613
2024-04-18,1.0643
2024-04-19,1.0666
2024-04-22,1.0696
2024-04-23,1.0719
2024-04-24,1.0624
2024-04-25,1.0618
2024-04-26,1.0507
2024-04-29,1.0436
2024-04-30,1.0471
2024-05-06,1.0461
2024-05-07,1.0478
2024-05-08,1.0475
2024-05-09,1.0453
2024-05-10,1.0448
2024-05-13,1.0477
2024-05-14,1.048
2024-05-15,1.0474
2024-05-16,1.0456
2024-05-17,1.0458
2024-05-20,1.0458
2024-05-21,1.0458
2024-05-22,1.0464
2024-05-23,1.0479
2024-05-24,1.0477
2024-05-27,1.0484
2024-05-28,1.0509
2024-05-29,1.0519
2024-05-30,1.0511
2024-05-31,1.0488
2024-06-03,1.0506
2024-06-04,1.0514
2024-06-05,1.0497
2024-06-06,1.0501
2024-06-07,1.0507
2024-06-11,1.0524
2024-06-12,1.0521
2024-06-13,1.0537
2024-06-14,1.0571
2024-06-17,1.057
2024-06-18,1.0598
2024-06-19,1.0616
2024-06-20,1.0625
2024-06-21,1.0612
2024-06-24,1.0643
2024-06-25,1.0658
2024-06-26,1.0668
2024-06-27,1.0653
2024-06-28,1.0654
2024-06-30,1.0655
2024-07-01,1.059
2024-07-02,1.0613
2024-07-03,1.0624
2024-07-04,1.0613
2024-07-05,1.0573
2024-07-08,1.0565
2024-07-09,1.0593
2024-07-10,1.0591
2024-07-11,1.0601
2024-07-12,1.0615
2024-07-15,1.0634
2024-07-16,1.0634
2024-07-17,1.0636
2024-07-18,1.0624
2024-07-19,1.0633
2024-07-22,1.0662
2024-07-23,1.0675
2024-07-24,1.0675
2024-07-25,1.0717
2024-07-26,1.0731
2024-07-29,1.0776
2024-07-30,1.0753
2024-07-31,1.0747
2024-08-01,1.078
2024-08-02,1.0797
2024-08-05,1.0812
2024-08-06,1.0799
2024-08-07,1.0822
2024-08-08,1.0772
2024-08-09,1.0758
2024-08-12,1.0684
2024-08-13,1.0729
2024-08-14,1.0767
2024-08-15,1.0747
2024-08-16,1.0749
2024-08-19,1.0779
2024-08-20,1.0788
2024-08-21,1.0791
2024-08-22,1.0805
2024-08-23,1.0813
2024-08-26,1.0799
2024-08-27,1.0763
2024-08-28,1.0797
2024-08-29,1.0743
2024-08-30,1.0742
2024-09-02,1.0782
2024-09-03,1.0788
2024-09-04,1.0811
2024-09-05,1.0831
2024-09-06,1.0833
2024-09-09,1.0859
2024-09-10,1.0884
2024-09-11,1.0893
2024-09-12,1.0908
2024-09-13,1.094
2024-09-18,1.0988
2024-09-19,1.0987
2024-09-20,1.1006
2024-09-23,1.1022
2024-09-24,1.097
2024-09-25,1.1003
2024-09-26,1.0891
2024-09-27,1.0746
2024-09-30,1.0725
2024-10-08,1.0683
2024-10-09,1.0748
2024-10-10,1.0869
2024-10-11,1.086
2024-10-14,1.085
2024-10-15,1.0855
2024-10-16,1.0834
2024-10-17,1.0874
2024-10-18,1.0852
2024-10-21,1.0856
2024-10-22,1.0813
2024-10-23,1.0791
2024-10-24,1.0793
2024-10-25,1.0733
2024-10-28,1.0699
2024-10-29,1.0729
2024-10-30,1.0734
2024-10-31,1.0772
2024-11-01,1.0806
2024-11-04,1.0818
2024-11-05,1.0853
2024-11-06,1.084
2024-11-07,1.0852
2024-11-08,1.086
2024-11-11,1.0887
2024-11-12,1.0928
2024-11-13,1.0897
2024-11-14,1.0887
2024-11-15,1.0857
2024-11-18,1.0787
2024-11-19,1.0828
2024-11-20,1.0805
2024-11-21,1.0856
2024-11-22,1.0881
2024-11-25,1.0916
2024-11-26,1.0919
2024-11-27,1.0911
2024-11-28,1.093
2024-11-29,1.0961
2024-12-02,1.1036
2024-12-03,1.1027
2024-12-04,1.1098
2024-12-05,1.1096
2024-12-06,1.1063
2024-12-09,1.1134
2024-12-10,1.1257
2024-12-11,1.1284
2024-12-12,1.1291
2024-12-13,1.1361
2024-12-16,1.1445
2024-12-17,1.1429
2024-12-18,1.1363
2024-12-19,1.1362
2024-12-20,1.1464
2024-12-23,1.1462
2024-12-24,1.1392
2024-12-25,1.1358
2024-12-26,1.1369
2024-12-27,1.1442
2024-12-30,1.1433
2024-12-31,1.1497
2025-01-02,1.1624
2025-01-03,1.161
2025-01-06,1.1632
2025-01-07,1.159
2025-01-08,1.1574
2025-01-09,1.1529
2025-01-10,1.1553
2025-01-13,1.1527
2025-01-14,1.1572
2025-01-15,1.1587
2025-01-16,1.1578
2025-01-17,1.1558
2025-01-20,1.1534
2025-01-21,1.1574
2025-01-22,1.1569
2025-01-23,1.155
2025-01-24,1.1568
2025-01-27,1.1607
2025-02-05,1.1646
2025-02-06,1.1674
2025-02-07,1.1664
2025-02-10,1.1632
2025-02-11,1.1649
2025-02-12,1.1649
2025-02-13,1.1651
2025-02-14,1.1625
2025-02-17,1.1578
2025-02-18,1.1565
2025-02-19,1.1583
2025-02-20,1.1548
2025-02-21,1.1506
2025-02-24,1.1458
2025-02-25,1.1488
2025-02-26,1.1491
2025-02-27,1.1444
2025-02-28,1.1483
2025-03-03,1.1516
2025-03-04,1.1506
2025-03-05,1.1521
2025-03-06,1.1472
2025-03-07,1.14
