date,nav
2012-12-14,0.4687
2012-12-21,2.2568
2012-12-28,1.3249
2012-12-31,1.3174
2013-01-03,1.5271
2013-01-04,0.083
2013-01-06,0.3474
2013-01-07,0.0908
2013-01-08,0.8957
2013-01-09,0.5952
2013-01-10,0.5122
2013-01-11,0.097
2013-01-13,0.5033
2013-01-14,0.25
2013-01-15,0.216
2013-01-16,0.7381
2013-01-17,0.1517
2013-01-18,0.1274
2013-01-20,0.3516
2013-01-21,0.6929
2013-01-22,0.4009
2013-01-23,1.2957
2013-01-24,1.0189
2013-01-25,0.4806
2013-01-27,0.9675
2013-01-28,1.2635
2013-01-29,0.4942
2013-01-30,23.7605
2013-01-31,2.6747
2013-02-01,0.2221
2013-02-03,0.4651
2013-02-04,0.3088
2013-02-05,0.5297
2013-02-06,0.5137
2013-02-07,0.4963
2013-02-08,0.7329
2013-02-17,6.662
2013-02-18,0.4778
2013-02-19,0.551
2013-02-20,0.5889
2013-02-21,0.6724
2013-02-22,0.8411
2013-02-24,1.2917
2013-02-25,3.4227
2013-02-26,0.6219
2013-02-27,1.4242
2013-02-28,0.5918
2013-03-01,0.5063
2013-03-03,1.0469
2013-03-04,0.5541
2013-03-05,0.6618
2013-03-06,0.6454
2013-03-07,5.4837
2013-03-08,0.4967
2013-03-10,0.9504
2013-03-11,0.4769
2013-03-12,2.7652
2013-03-13,2.7881
2013-03-14,0.3361
2013-03-15,0.4006
2013-03-17,0.7925
2013-03-18,0.4314
2013-03-19,0.4749
2013-03-20,1.2518
2013-03-21,0.4428
2013-03-22,1.1323
2013-03-24,0.9006
2013-03-25,0.4548
2013-03-26,2.8648
2013-03-27,12.4652
2013-03-28,0.26
2013-03-29,0.121
2013-03-31,0.1563
2013-04-01,0.1006
2013-04-02,0.1013
2013-04-03,0.0911
2013-04-07,0.7109
2013-04-08,3.3827
2013-04-09,0.1631
2013-04-10,0.2248
2013-04-11,5.9697
2013-04-12,0.3251
2013-04-14,0.6529
2013-04-15,0.3103
2013-04-16,0.2923
2013-04-17,0.3375
2013-04-18,0.348
2013-04-19,0.35
2013-04-21,0.7004
2013-04-22,2.6001
