date,nav
2014-08-07,1.3361
2014-08-08,0.9535
2014-08-10,1.9262
2014-08-11,0.9629
2014-08-12,2.1205
2014-08-13,0.9506
2014-08-14,0.9539
2014-08-15,3.6567
2014-08-17,1.9215
2014-08-18,0.9868
2014-08-19,1.9168
2014-08-20,1.0104
2014-08-21,1.025
2014-08-22,1.0119
2014-08-24,2.0247
2014-08-25,1.0425
2014-08-26,1.226
2014-08-27,2.8765
2014-08-28,1.1898
2014-08-29,1.2365
2014-08-31,2.4735
2014-09-01,1.187
2014-09-02,0.8972
2014-09-03,0.8631
2014-09-04,2.2738
2014-09-05,0.8236
2014-09-08,2.5003
2014-09-09,0.8099
2014-09-10,2.2615
2014-09-11,1.6791
2014-09-12,0.9981
2014-09-14,2.0099
2014-09-15,0.9788
2014-09-16,1.6393
2014-09-17,0.989
2014-09-18,0.994
2014-09-19,0.963
2014-09-21,1.927
2014-09-22,2.8919
2014-09-23,1.945
2014-09-24,2.4234
2014-09-25,1.2719
2014-09-26,1.1791
2014-09-28,2.3633
2014-09-29,2.1005
2014-09-30,1.1746
2014-10-07,8.24
2014-10-08,4.8776
2014-10-09,4.4147
2014-10-10,1.1961
2014-10-12,1.6302
2014-10-13,0.857
2014-10-14,0.8281
2014-10-15,0.8977
2014-10-16,4.8711
2014-10-17,2.647
2014-10-19,1.6732
2014-10-20,0.8237
2014-10-21,0.82
2014-10-22,0.8781
2014-10-23,0.8593
2014-10-24,2.897
2014-10-26,1.7013
2014-10-27,0.8958
2014-10-28,0.8973
2014-10-29,0.7659
2014-10-30,0.7259
2014-10-31,2.7974
2014-11-02,1.4366
2014-11-03,0.7395
2014-11-04,0.6978
2014-11-05,1.5579
2014-11-06,2.1181
2014-11-07,2.5407
2014-11-09,1.459
2014-11-10,5.0235
2014-11-11,1.7062
2014-11-12,2.3103
2014-11-13,3.6255
2014-11-14,0.7182
2014-11-16,1.4423
2014-11-17,0.7034
2014-11-18,0.6653
2014-11-19,0.8565
2014-11-20,1.3786
2014-11-21,2.1371
2014-11-23,1.5677
2014-11-24,1.5056
2014-11-25,1.665
2014-11-26,0.8478
2014-11-27,1.4316
2014-11-28,0.826
2014-11-30,1.6173
2014-12-01,0.8346
2014-12-02,1.3977
2014-12-03,0.9134
2014-12-04,0.8689
2014-12-05,0.5792
2014-12-07,1.6371
2014-12-08,0.7872
2014-12-09,0.6872
2014-12-10,1.0125
2014-12-11,0.5228
2014-12-12,0.7716
2014-12-14,2.0213
2014-12-15,0.7093
2014-12-16,0.8496
2014-12-17,0.9247
2014-12-18,1.1326
2014-12-19,0.7125
2014-12-21,1.9916
2014-12-22,0.6524
2014-12-23,1.0569
2014-12-24,1.281
2014-12-25,0.8377
2014-12-26,0.6206
2014-12-28,1.4005
2014-12-29,0.6043
2014-12-30,0.772
2014-12-31,0.8915
2015-01-04,3.6006
2015-01-05,1.1075
2015-01-06,0.402
2015-01-07,1.0905
2015-01-08,2.377
2015-01-09,0.9193
2015-01-11,1.5633
2015-01-12,1.9746
2015-01-13,1.9114
2015-01-14,1.6693
2015-01-15,3.5459
2015-01-16,0.8222
2015-01-18,1.6445
2015-01-19,2.8044
2015-01-20,0.8234
2015-01-21,0.8533
2015-01-22,3.0746
2015-01-23,0.8946
2015-01-25,1.8445
2015-01-26,0.8656
2015-01-27,0.8749
2015-01-28,0.8786
2015-01-29,3.1208
2015-01-30,0.9135
2015-02-01,1.844
2015-02-02,0.979
2015-02-03,0.998
2015-02-04,1.0065
2015-02-05,0.9748
2015-02-06,3.3748
2015-02-08,1.9642
2015-02-09,1.0237
2015-02-10,0.9888
2015-02-11,0.942
2015-02-12,1.0183
2015-02-13,4.3454
2015-02-15,1.8149
2015-02-16,0.9864
2015-02-17,0.9902
2015-02-24,6.9544
2015-02-25,0.9463
2015-02-26,6.729
2015-02-27,1.0146
2015-03-01,1.9971
2015-03-02,4.4748
2015-03-03,1.5676
2015-03-04,1.1238
2015-03-05,1.1499
2015-03-06,1.162
2015-03-08,2.3143
2015-03-09,1.2202
2015-03-10,1.1876
2015-03-11,1.1916
2015-03-12,1.1745
2015-03-13,1.5402
2015-03-15,2.4015
2015-03-16,1.0775
2015-03-17,1.0429
2015-03-18,1.1314
2015-03-19,1.1435
2015-03-20,1.1658
2015-03-22,2.3332
2015-03-23,1.1638
2015-03-24,1.161
2015-03-25,1.1448
2015-03-26,1.1569
2015-03-27,1.1635
2015-03-29,2.3172
2015-03-30,1.15
2015-03-31,1.168
2015-04-01,1.3118
2015-04-02,1.1035
2015-04-03,1.1329
2015-04-06,3.4045
2015-04-07,1.0888
2015-04-08,1.0132
2015-04-09,1.2998
2015-04-10,1.0322
2015-04-12,2.0655
2015-04-13,1.0378
2015-04-14,1.1461
2015-04-15,1.2915
2015-04-16,0.9795
2015-04-17,1.0167
2015-04-19,2.0408
2015-04-20,2.0239
2015-04-21,0.8863
2015-04-22,0.9131
2015-04-23,0.9196
2015-04-24,0.9218
2015-04-26,1.8521
2015-04-27,0.8434
2015-04-28,0.8437
2015-04-29,2.4944
2015-04-30,2.54
2015-05-03,2.6057
2015-05-04,1.9716
2015-05-05,1.3817
2015-05-06,0.999
2015-05-07,1.1446
2015-05-08,0.6966
2015-05-10,1.3965
2015-05-11,1.3957
2015-05-12,0.4262
2015-05-13,2.2516
2015-05-14,2.4874
2015-05-15,4.1741
2015-05-17,0.7426
2015-05-18,0.3698
2015-05-19,2.5288
2015-05-20,0.5148
2015-05-21,0.3819
2015-05-22,0.3804
2015-05-24,0.8212
2015-05-25,1.3391
2015-05-26,0.3494
2015-05-27,0.3688
2015-05-28,0.8605
2015-05-29,1.2195
2015-05-31,0.7725
2015-06-01,7.5218
2015-06-02,0.7886
2015-06-03,0.7388
2015-06-04,0.5857
2015-06-05,0.6721
2015-06-07,1.2759
2015-06-08,0.443
2015-06-09,0.5318
2015-06-10,0.5099
2015-06-11,2.1606
2015-06-12,0.5656
2015-06-14,1.13
2015-06-15,0.5634
2015-06-16,1.628
2015-06-17,1.6997
2015-06-18,2.8801
2015-06-19,0.7389
2015-06-22,2.2291
2015-06-23,2.8499
2015-06-24,0.802
2015-06-25,0.7767
2015-06-26,0.8234
2015-06-28,1.6324
2015-06-29,0.8579
2015-06-30,0.8688
2015-07-01,1.0079
2015-07-02,2.066
2015-07-03,1.9179
2015-07-05,1.8119
2015-07-06,2.953
2015-07-07,2.7393
2015-07-08,1.6013
2015-07-09,0.8008
2015-07-10,0.8192
2015-07-12,1.6094
2015-07-13,0.8668
2015-07-14,0.8223
2015-07-15,0.801
2015-07-16,1.1433
2015-07-17,0.8127
2015-07-19,1.6281
2015-07-20,0.7779
2015-07-21,0.8317
2015-07-22,1.4957
2015-07-23,0.7653
2015-07-24,0.8858
2015-07-26,1.6783
2015-07-27,3.849
2015-07-28,1.307
2015-07-29,0.8164
2015-07-30,0.7517
2015-07-31,0.8029
2015-08-02,1.5664
2015-08-03,0.7662
2015-08-04,0.762
2015-08-05,0.6822
2015-08-06,0.9724
2015-08-07,0.5724
2015-08-09,1.1474
2015-08-10,0.5914
2015-08-11,0.5827
2015-08-12,0.6366
2015-08-13,0.5657
2015-08-14,1.0297
2015-08-16,1.1383
2015-08-17,1.4752
2015-08-18,1.3712
2015-08-19,1.6537
2015-08-20,0.7388
2015-08-21,1.1487
2015-08-23,1.4772
2015-08-24,0.729
2015-08-25,0.725
2015-08-26,0.7293
2015-08-27,0.734
2015-08-28,0.7482
2015-08-30,1.5072
2015-08-31,0.7427
2015-09-01,0.7367
2015-09-02,0.7283
2015-09-06,2.9177
2015-09-07,1.4485
2015-09-08,0.9554
2015-09-09,0.778
2015-09-10,0.7723
2015-09-11,0.773
2015-09-13,1.5224
2015-09-14,0.7682
2015-09-15,2.7277
2015-09-16,0.7797
2015-09-17,0.6935
2015-09-18,0.7478
2015-09-20,1.4775
2015-09-21,0.7517
2015-09-22,0.7657
2015-09-23,0.7693
2015-09-24,0.7925
2015-09-25,0.7933
2015-09-27,1.5828
2015-09-28,0.7814
2015-09-29,0.7279
2015-09-30,0.7877
2015-10-07,5.4397
2015-10-08,1.7356
2015-10-09,0.7834
2015-10-11,1.5616
2015-10-12,0.8116
2015-10-13,0.8206
2015-10-14,0.8197
2015-10-15,0.7944
2015-10-16,2.4665
2015-10-18,1.6113
2015-10-19,3.1248
2015-10-20,0.7784
2015-10-21,0.9448
2015-10-22,0.7855
2015-10-23,0.7869
2015-10-25,1.5731
2015-10-26,0.8092
2015-10-27,0.7868
2015-10-28,0.7838
2015-10-29,0.7961
2015-10-30,2.6316
2015-11-01,1.6468
2015-11-02,0.8201
2015-11-03,1.2002
2015-11-04,0.8054
2015-11-05,0.8018
2015-11-06,0.7931
2015-11-08,1.5814
2015-11-09,1.1483
2015-11-10,1.5161
2015-11-11,0.7927
2015-11-12,0.7954
2015-11-13,0.7952
2015-11-15,1.5907
2015-11-16,1.1121
2015-11-17,0.804
2015-11-18,1.0061
2015-11-19,0.8092
2015-11-20,0.8387
2015-11-22,1.6789
2015-11-23,1.7986
2015-11-24,0.8813
2015-11-25,0.8283
2015-11-26,0.8257
2015-11-27,1.3048
2015-11-29,1.655
2015-11-30,1.0693
2015-12-01,1.3648
2015-12-02,0.8543
2015-12-03,0.733
2015-12-04,0.7422
2015-12-06,1.4814
2015-12-07,0.738
2015-12-08,0.7198
2015-12-09,0.8267
2015-12-10,0.743
2015-12-11,0.7686
2015-12-13,1.5539
2015-12-14,0.787
2015-12-15,0.7913
2015-12-16,0.779
2015-12-17,0.7785
2015-12-18,1.148
2015-12-20,1.6357
2015-12-21,1.3021
2015-12-22,0.8481
2015-12-23,0.861
2015-12-24,0.9654
2015-12-25,1.2992
2015-12-27,1.7033
2015-12-28,0.8487
2015-12-29,3.1275
2015-12-30,9.7006
2015-12-31,0.8391
2016-01-03,2.5175
2016-01-04,0.834
2016-01-05,0.8074
2016-01-06,0.8137
2016-01-07,0.7873
2016-01-08,0.8072
2016-01-10,1.5955
2016-01-11,0.7885
2016-01-12,0.7582
2016-01-13,0.7356
2016-01-14,0.7609
2016-01-15,0.7507
2016-01-17,1.5139
2016-01-18,0.7543
2016-01-19,0.7436
2016-01-20,0.756
2016-01-21,1.8856
2016-01-22,1.3035
2016-01-24,1.5424
2016-01-25,0.7615
2016-01-26,0.7584
2016-01-27,0.7687
2016-01-28,0.7716
2016-01-29,0.7866
2016-01-31,1.5774
2016-02-01,0.7932
2016-02-02,0.7846
2016-02-03,0.7827
2016-02-04,0.7612
2016-02-05,0.7665
2016-02-14,6.9044
2016-02-15,0.7565
2016-02-16,0.7146
2016-02-17,0.5314
2016-02-18,0.5233
2016-02-19,0.9128
2016-02-21,1.0289
2016-02-22,0.513
2016-02-23,0.7452
2016-02-24,0.5413
2016-02-25,1.5505
2016-02-26,0.654
2016-02-28,1.2966
2016-02-29,1.1511
2016-03-01,0.6743
2016-03-02,0.6547
2016-03-03,0.7953
2016-03-04,0.6103
2016-03-06,1.2146
2016-03-07,0.6118
2016-03-08,0.6114
2016-03-09,0.6128
2016-03-10,0.6172
2016-03-11,0.6076
2016-03-13,1.2163
2016-03-14,0.607
2016-03-15,1.6138
2016-03-16,0.6113
2016-03-17,0.7051
2016-03-18,1.854
2016-03-20,1.3227
2016-03-21,1.091
2016-03-22,0.6574
2016-03-23,0.9622
2016-03-24,0.6378
2016-03-25,0.687
2016-03-27,1.3691
2016-03-28,0.7833
2016-03-29,0.669
2016-03-30,0.8482
2016-03-31,1.6409
2016-04-01,0.7308
2016-04-04,2.193
2016-04-05,1.0075
2016-04-06,0.7256
2016-04-07,0.6137
2016-04-08,0.5828
2016-04-10,1.1647
2016-04-11,0.6105
2016-04-12,0.5525
2016-04-13,0.5792
2016-04-14,1.0588
2016-04-15,0.6051
2016-04-17,1.2129
2016-04-18,1.0186
2016-04-19,0.62
2016-04-20,0.611
2016-04-21,0.7186
2016-04-22,0.6027
2016-04-24,1.2063
2016-04-25,0.6044
2016-04-26,0.6365
2016-04-27,0.5887
2016-04-28,0.5502
2016-04-29,0.5552
2016-05-02,1.8187
2016-05-03,1.1206
2016-05-04,0.6122
2016-05-05,0.6084
2016-05-06,0.6062
2016-05-08,1.2328
2016-05-09,0.6126
2016-05-10,0.9499
2016-05-11,0.5691
2016-05-12,0.6398
2016-05-13,0.4331
2016-05-15,0.6364
2016-05-16,0.3475
2016-05-17,1.7779
2016-05-18,0.5929
2016-05-19,0.5915
2016-05-20,0.6733
2016-05-22,1.177
