date,nav
2021-07-16,0.3636
2021-07-18,0.7272
2021-07-19,0.375
2021-07-20,0.4177
2021-07-21,0.358
2021-07-22,0.3924
2021-07-23,0.3714
2021-07-25,0.8284
2021-07-26,0.3166
2021-07-27,0.4378
2021-07-28,0.4326
2021-07-29,0.4653
2021-07-30,0.4702
2021-08-01,0.8832
2021-08-02,0.3823
2021-08-03,0.3357
2021-08-04,0.2867
2021-08-05,0.3993
2021-08-06,0.479
2021-08-08,0.9756
2021-08-09,0.4445
2021-08-10,0.4766
2021-08-11,0.4831
2021-08-12,0.4835
2021-08-13,0.4884
2021-08-15,0.9767
2021-08-16,2.0962
2021-08-17,0.4993
2021-08-18,0.3014
2021-08-19,0.4417
2021-08-20,0.3536
2021-08-22,0.6722
2021-08-23,1.9413
2021-08-24,0.3294
2021-08-25,0.4871
2021-08-26,0.5261
2021-08-27,0.5354
2021-08-29,1.0818
2021-08-30,0.5339
2021-08-31,0.5105
2021-09-01,0.5299
2021-09-02,0.5258
2021-09-03,0.5423
2021-09-05,1.0886
2021-09-06,0.5345
2021-09-07,0.5271
2021-09-08,0.5348
2021-09-09,0.6046
2021-09-10,0.5412
2021-09-12,1.0876
2021-09-13,0.5308
2021-09-14,0.6181
2021-09-15,0.5361
2021-09-16,0.5343
2021-09-17,0.533
2021-09-21,2.146
2021-09-22,0.6623
2021-09-23,0.5335
2021-09-24,0.5335
2021-09-26,1.0814
2021-09-27,0.5366
2021-09-28,0.5656
2021-09-29,0.6452
2021-09-30,0.5727
2021-10-07,4.0302
2021-10-08,0.699
2021-10-10,1.136
2021-10-11,0.5507
2021-10-12,0.5525
2021-10-13,0.5639
2021-10-14,0.5553
2021-10-15,0.5993
2021-10-17,1.1058
2021-10-18,0.5468
2021-10-19,0.6671
2021-10-20,0.5615
2021-10-21,0.565
2021-10-22,0.5648
2021-10-24,1.1352
2021-10-25,0.5674
2021-10-26,0.5667
2021-10-27,0.5646
2021-10-28,0.7004
2021-10-29,0.5711
2021-10-31,1.1461
2021-11-01,0.5686
2021-11-02,0.5624
