date,nav
2024-08-08,1.0
2024-08-09,1.0
2024-08-16,1.0001
2024-08-22,1.0
2024-08-23,1.0003
2024-08-26,1.0009
2024-08-27,1.0
2024-08-28,0.9988
2024-08-29,0.9989
2024-08-30,1.0038
2024-09-02,0.9987
2024-09-03,1.0004
2024-09-04,0.9986
2024-09-05,0.9991
2024-09-06,0.9964
2024-09-09,0.992
2024-09-10,0.991
2024-09-11,0.9928
2024-09-12,0.9894
2024-09-13,0.9861
2024-09-18,0.9917
2024-09-19,0.9972
2024-09-20,0.9975
2024-09-23,1.0
2024-09-24,1.0417
2024-09-25,1.0627
2024-09-26,1.1056
2024-09-27,1.1581
2024-09-30,1.2422
2024-10-08,1.3119
2024-10-09,1.2277
2024-10-10,1.2453
2024-10-11,1.2091
2024-10-14,1.2292
2024-10-15,1.2001
2024-10-16,1.1909
2024-10-17,1.1758
2024-10-18,1.2156
2024-10-21,1.2208
2024-10-22,1.2262
2024-10-23,1.2327
2024-10-24,1.2195
2024-10-25,1.2288
2024-10-28,1.2281
2024-10-29,1.2175
2024-10-30,1.2068
2024-10-31,1.2043
2024-11-01,1.2082
2024-11-04,1.2251
2024-11-05,1.2511
2024-11-06,1.2424
2024-11-07,1.278
2024-11-08,1.2669
2024-11-11,1.2724
2024-11-12,1.2592
2024-11-13,1.2661
2024-11-14,1.2471
2024-11-15,1.2277
2024-11-18,1.2214
2024-11-19,1.2273
2024-11-20,1.23
2024-11-21,1.2291
2024-11-22,1.1935
2024-11-25,1.1884
2024-11-26,1.1856
2024-11-27,1.2001
2024-11-28,1.1902
2024-11-29,1.2003
2024-12-02,1.2081
2024-12-03,1.2079
2024-12-04,1.2031
2024-12-05,1.1975
2024-12-06,1.2162
2024-12-09,1.2159
2024-12-10,1.2257
2024-12-11,1.2228
2024-12-12,1.2348
2024-12-13,1.2058
2024-12-16,1.2016
2024-12-17,1.2098
2024-12-18,1.2151
2024-12-19,1.2154
2024-12-20,1.2084
2024-12-23,1.2113
2024-12-24,1.2271
2024-12-25,1.2258
2024-12-26,1.2229
2024-12-27,1.2215
2024-12-30,1.2276
2024-12-31,1.214
2025-01-02,1.1823
2025-01-03,1.1727
2025-01-06,1.1693
2025-01-07,1.1714
2025-01-08,1.1667
2025-01-09,1.1614
2025-01-10,1.1512
2025-01-13,1.1507
2025-01-14,1.176
2025-01-15,1.1677
2025-01-16,1.1672
2025-01-17,1.1715
2025-01-20,1.1807
2025-01-21,1.1827
2025-01-22,1.1671
2025-01-23,1.1671
2025-01-24,1.1771
2025-01-27,1.1741
2025-02-05,1.168
2025-02-06,1.1822
2025-02-07,1.1979
2025-02-10,1.1991
2025-02-11,1.1913
2025-02-12,1.2031
2025-02-13,1.2024
2025-02-14,1.2158
2025-02-17,1.2125
2025-02-18,1.2052
2025-02-19,1.2143
2025-02-20,1.2107
2025-02-21,1.2255
2025-02-24,1.223
2025-02-25,1.2084
2025-02-26,1.2167
2025-02-27,1.2202
2025-02-28,1.2015
2025-03-03,1.201
2025-03-04,1.195
2025-03-05,1.2
2025-03-06,1.2151
2025-03-07,1.2121
