date,nav,acc_nav
2021-06-15,1.0615,1.0615
2021-06-16,1.0616,1.0616
2021-06-17,1.0618,1.0618
2021-06-18,1.062,1.062
2021-06-21,1.0622,1.0622
2021-06-22,1.0623,1.0623
2021-06-23,1.0624,1.0624
2021-06-24,1.0626,1.0626
2021-06-25,1.0627,1.0627
2021-06-28,1.0636,1.0636
2021-06-29,1.0638,1.0638
2021-06-30,1.064,1.064
2021-07-01,1.0641,1.0641
2021-07-02,1.0643,1.0643
2021-07-05,1.0646,1.0646
2021-07-06,1.0647,1.0647
2021-07-07,1.0648,1.0648
2021-07-08,1.0653,1.0653
2021-07-09,1.0654,1.0654
2021-07-12,1.066,1.066
2021-07-13,1.0661,1.0661
2021-07-14,1.0664,1.0664
2021-07-15,1.0663,1.0663
2021-07-16,1.0664,1.0664
2021-07-19,1.0667,1.0667
2021-07-20,1.067,1.067
2021-07-21,1.0671,1.0671
2021-07-22,1.0672,1.0672
2021-07-23,1.0673,1.0673
2021-07-26,1.0677,1.0677
2021-07-27,1.0677,1.0677
2021-07-28,1.0678,1.0678
2021-07-29,1.0679,1.0679
2021-07-30,1.0681,1.0681
2021-08-02,1.0686,1.0686
2021-08-03,1.0687,1.0687
2021-08-04,1.0687,1.0687
2021-08-05,1.0689,1.0689
2021-08-06,1.069,1.069
2021-08-09,1.0692,1.0692
2021-08-10,1.0692,1.0692
2021-08-11,1.0694,1.0694
2021-08-12,1.0696,1.0696
2021-08-13,1.0697,1.0697
2021-08-16,1.0699,1.0699
2021-08-17,1.0699,1.0699
2021-08-18,1.0701,1.0701
2021-08-19,1.0701,1.0701
2021-08-20,1.0702,1.0702
2021-08-23,1.0704,1.0704
2021-08-24,1.0681,1.0681
2021-08-25,1.0683,1.0683
2021-08-26,1.0681,1.0681
2021-08-27,1.0682,1.0682
2021-08-30,1.0685,1.0685
2021-08-31,1.0685,1.0685
2021-09-01,1.0687,1.0687
2021-09-02,1.0688,1.0688
2021-09-03,1.0687,1.0687
2021-09-06,1.0689,1.0689
2021-09-07,1.0687,1.0687
2021-09-08,1.0688,1.0688
2021-09-09,1.0687,1.0687
2021-09-10,1.0688,1.0688
2021-09-13,1.0689,1.0689
2021-09-14,1.0687,1.0687
2021-09-15,1.0687,1.0687
2021-09-16,1.0687,1.0687
2021-09-17,1.0689,1.0689
2021-09-22,1.0695,1.0695
2021-09-23,1.0696,1.0696
2021-09-24,1.0695,1.0695
2021-09-27,1.0695,1.0695
2021-09-28,1.0694,1.0694
2021-09-29,1.07,1.07
2021-09-30,1.0703,1.0703
2021-10-08,1.0707,1.0707
2021-10-11,1.0705,1.0705
2021-10-12,1.0703,1.0703
2021-10-13,1.0704,1.0704
2021-10-14,1.0705,1.0705
2021-10-15,1.0705,1.0705
2021-10-18,1.0699,1.0699
2021-10-19,1.0698,1.0698
2021-10-20,1.0702,1.0702
2021-10-21,1.0707,1.0707
2021-10-22,1.0707,1.0707
2021-10-25,1.0711,1.0711
2021-10-26,1.0713,1.0713
2021-10-27,1.0714,1.0714
2021-10-28,1.0716,1.0716
2021-10-29,1.0717,1.0717
2021-11-01,1.0722,1.0722
2021-11-02,1.0725,1.0725
2021-11-03,1.0726,1.0726
2021-11-04,1.073,1.073
2021-11-05,1.0733,1.0733
2021-11-08,1.0733,1.0733
2021-11-09,1.0733,1.0733
2021-11-10,1.0733,1.0733
2021-11-11,1.0733,1.0733
2021-11-12,1.0734,1.0734
2021-11-15,1.074,1.074
2021-11-16,1.0741,1.0741
2021-11-17,1.0742,1.0742
2021-11-18,1.0744,1.0744
2021-11-19,1.0744,1.0744
2021-11-22,1.0749,1.0749
2021-11-23,1.0749,1.0749
2021-11-24,1.0752,1.0752
2021-11-25,1.0752,1.0752
2021-11-26,1.0754,1.0754
2021-11-29,1.0754,1.0754
2021-11-30,1.0753,1.0753
2021-12-01,1.0753,1.0753
2021-12-02,1.0753,1.0753
2021-12-03,1.0751,1.0751
2021-12-06,1.0759,1.0759
2021-12-07,1.0757,1.0757
2021-12-08,1.0755,1.0755
2021-12-09,1.0756,1.0756
2021-12-10,1.076,1.076
2021-12-13,1.0763,1.0763
2021-12-14,1.0766,1.0766
2021-12-15,1.0771,1.0771
2021-12-16,1.0772,1.0772
2021-12-17,1.0772,1.0772
2021-12-20,1.0767,1.0767
2021-12-21,1.0766,1.0766
2021-12-22,1.0768,1.0768
2021-12-23,1.0774,1.0774
2021-12-24,1.0776,1.0776
2021-12-27,1.0779,1.0779
2021-12-28,1.078,1.078
2021-12-29,1.0784,1.0784
2021-12-30,1.0788,1.0788
2021-12-31,1.079,1.079
2022-01-04,1.0793,1.0793
2022-01-05,1.0794,1.0794
2022-01-06,1.0793,1.0793
2022-01-07,1.0795,1.0795
2022-01-10,1.08,1.08
2022-01-11,1.0803,1.0803
2022-01-12,1.0804,1.0804
2022-01-13,1.0804,1.0804
2022-01-14,1.0804,1.0804
2022-01-17,1.0809,1.0809
2022-01-18,1.082,1.082
2022-01-19,1.083,1.083
2022-01-20,1.0833,1.0833
2022-01-21,1.0843,1.0843
2022-01-24,1.1008,1.1008
2022-01-25,1.1006,1.1006
2022-01-26,1.0999,1.0999
2022-01-27,1.0996,1.0996
2022-01-28,1.1,1.1
2022-02-07,1.1011,1.1011
2022-02-08,1.1012,1.1012
2022-02-09,1.1012,1.1012
2022-02-10,1.1014,1.1014
2022-02-11,1.1004,1.1004
2022-02-14,1.1001,1.1001
2022-02-15,1.1003,1.1003
2022-02-16,1.1007,1.1007
2022-02-17,1.1011,1.1011
2022-02-18,1.1007,1.1007
2022-02-21,1.1004,1.1004
2022-02-22,1.0987,1.0987
2022-02-23,1.0997,1.0997
2022-02-24,1.0998,1.0998
2022-02-25,1.1,1.1
2022-02-28,1.1004,1.1004
2022-03-01,1.1001,1.1001
2022-03-02,1.0994,1.0994
2022-03-03,1.0985,1.0985
2022-03-04,1.0989,1.0989
2022-03-07,1.0992,1.0992
2022-03-08,1.0995,1.0995
2022-03-09,1.099,1.099
2022-03-10,1.0989,1.0989
2022-03-11,1.0994,1.0994
2022-03-14,1.1003,1.1003
2022-03-15,1.099,1.099
2022-03-16,1.0991,1.0991
2022-03-17,1.0992,1.0992
2022-03-18,1.0995,1.0995
2022-03-21,1.0996,1.0996
2022-03-22,1.0991,1.0991
2022-03-23,1.0993,1.0993
2022-03-24,1.0994,1.0994
2022-03-25,1.0996,1.0996
2022-03-28,1.0996,1.0996
2022-03-29,1.0997,1.0997
2022-03-30,1.1002,1.1002
2022-03-31,1.1004,1.1004
2022-04-01,1.1011,1.1011
2022-04-06,1.1019,1.1019
2022-04-07,1.1024,1.1024
2022-04-08,1.1022,1.1022
2022-04-11,1.1019,1.1019
2022-04-12,1.1019,1.1019
2022-04-13,1.1024,1.1024
2022-04-14,1.1032,1.1032
2022-04-15,1.1038,1.1038
2022-04-18,1.1031,1.1031
2022-04-19,1.1033,1.1033
2022-04-20,1.1031,1.1031
2022-04-21,1.1033,1.1033
2022-04-22,1.1034,1.1034
2022-04-25,1.1041,1.1041
2022-04-26,1.1042,1.1042
2022-04-27,1.1037,1.1037
2022-04-28,1.1031,1.1031
2022-04-29,1.1036,1.1036
2022-05-05,1.1042,1.1042
2022-05-06,1.1042,1.1042
2022-05-09,1.105,1.105
2022-05-10,1.1055,1.1055
2022-05-11,1.1053,1.1053
2022-05-12,1.1058,1.1058
2022-05-13,1.1059,1.1059
2022-05-16,1.1063,1.1063
2022-05-17,1.1069,1.1069
2022-05-18,1.1076,1.1076
2022-05-19,1.1076,1.1076
2022-05-20,1.1075,1.1075
2022-05-23,1.1082,1.1082
2022-05-24,1.0781,1.1081
2022-05-25,1.0778,1.1078
2022-05-26,1.0788,1.1088
2022-05-27,1.0789,1.1089
2022-05-30,1.0785,1.1085
2022-05-31,1.0778,1.1078
2022-06-01,1.0776,1.1076
2022-06-02,1.0772,1.1072
2022-06-06,1.0763,1.1063
